	Part of Speech	main_word	main_word_id	main_word_GLOSS	2nd_word	2nd_word_id	2nd_word_GLOSS	3rd_word	3rd_word_id	3rd_word_GLOSS	ready?	who_collected	comment	lexeme_id	Gender	Attributive	Orthography	Lexical entry	No stress	Glossing label	comment_to_appear	meaning_1	meaning_1_rus	diathesis_1	example_1	example_1_cyr	example_1_rus	meaning_2	meaning_2_rus	diathesis_2	example_2	example_2_cyr	example_2_rus	meaning_3	meaning_3_rus	diathesis_3	example_3	example_3_cyr	example_3_rus	meaning_4	meaning_4_rus	diathesis_4	example_4	example_4_cyr	example_4_rus	who_compiled	elicited_day	elicited_month	elicited_year	updated_day	updated_month	updated_year	filename	speaker_name	gender	year_of_birth	lexcauc_id	swadesh_id	j/h	PFV.3	IPFV.3	INF.3	IMP.3	PROH.3	HPL/APL	Co-verbal form	Adverbial form	Lexical Entry
98	verb										1.0	AI	iMP ; Ӏ = kerka	v55			кевиркыр	kewírkɨr	kewirkɨr	PV-be_late		delay	задержаться		χɨnɨχ mihʲtaba kerkasɨ	хыных мигьʼтаба керкасы	Ребенок в школе задерживается (поздно придёт)	be late	опоздать		χɨnɨχ kerqɨr mihʲtaba ; zɨ kerkasɨ güzet maʔ	хыных керхъыр мигьʼтаба ; зы керкасы гуьзет маъ	Мальчик опоздал в школу ; Я опоздаю, не жди меня														13.0	8	2023.0					Nazile	f					kewírkɨr	kewirkara	kewirkas	kewirka	kemewrɨk	kerkɨr, kedirkɨr			
99	verb										1.0	AI		v57			кегъвийир	keʁwíjir	keʁwijir	SURF-OUT-let		separate, chop off	отделить, отрубить (ветку)		χukad dal keʁijir ; zad mid dal keʁijisɨ ; zad keʁwíjir eč	хукад дал кегъийир ; зад мид дал кегъийисы ; зад кегъви́йир еч	Он срубил ветку дерева ; Я отрублю эту ветку ; Я сбил яблоко	wake smb up	разбудить		wɨɣlira laʔ keʁrijir ɢari	выгӀлира лаъ кегърийир къари	Муж разбудил жену														15.0	8	2023.0					Edera/Teli	f					keʁwíjir	kʲaʁwɨχara	keʁwijis	keʁwi	kʲaʁmowɨχ ~ kʲaʁmawɨχ	zad neqʼa kʲaʁɨʔɨr dawara, kʲaʁdɨʔɨr χɨnimer			
100	verb										1.0	AI		v56			кегъевчӀур	keʁéwčʼur	keʁewčʼur	SURF-OUT-move		quit (habit)	бросать (о дурной привычке)		pʼapʼrɨsakla keʁijičʼ! ; ʁarɨm mɨklʲa wɨ keʁijičʼ!	пӀапӀрысакла кегъийичӀ! ; гъарым мыклʼа вы кегъийичӀ!	Брось курить! ; Бросай пить!	wade in	перейти вброд		lecʼura tiʔ zer keʁewčʼur ; lecʼura keʁwičʼ! ; lecʼura keʁijičʼ!	лецӀура тиъ зер кегъевчӀур ; лецӀура кегъвичӀ! ; лецӀура кегъийичӀ!	Корова прошла через реку ; [Корове:] пройди через реку! ; [Человеку:] пройди через реку!	separate (from group, herd)	отделиться (от группы, стада)		sa qʼabal süriekla ʁaʔ keʁwij ; cʼɨ sürija keʁewčur abxɨr	са кьабал суьриекла гъаъ кегъвий ; цӀы суьрийа кегъевчур абхьыр	Одного барашка со стада отдели ; От отары отделилась коза								13.0	8	2023.0					Nazile	f					keʁéwčʼur	keʁébčʼura	keʁewčʼus	keʁwičʼ	keʁméwčʼ	keʁéčʼur, keʁélčʼur			
101	verb										1.0	AI		v58			кегъипӀир	keʁípʼir	keʁipʼir	PV-choose		choose	выбрать		zad keʁipʼir mi badur ; gɐdijera rɨš keʁirir(a) ; had kirqʼɨr muˤqʼa rɨš keʁirɨs	зад кегъипӀир ми бадур ; га̂дийера рыш кегъирир(а) ; гьад киркьыр муӀкьа рыш кегъирыс	Я выбрала эти брюки ; Мальчик выбрал девочку (взял в жены) ; Он приехал в село выбрать себе девушку																				13.0	8	2023.0					Nazile	f					keʁípʼir	keʁʷilera	keʁipʼes	keʁipʼe	keʁmewliʔ ~ keʁmewriʔ	kʲaʁitʼir zerbɨr, keʁitʼir telebejir			
102	verb										1.0	AI	iPFV ; 3 lɨjčir прыгать	v59			кегъовчир	keʁowčir	keʁowčir	SURF-OUT-jump		get mad	взбеситься		hej, wɨ šiwi kʲaʁɐjčid? ; zad tɨʔa bizarawɨr, had keʁówčir ; sürija keʁowčir, haˤpχɨr	гьей, вы шиви кʼагъа̂йчид? ; зад тыъа бизаравыр, гьад кегъо́вчир ; суьрийа кегъовчир, гьаӀпхыр	Ты чего взбесился? ; Я подразнил собаку, и она взбесилась ; Баран взбесился, убежал	to separate from herd	отделиться от стада (про скот)		sürija keʁowčir	суьрийа кегъовчир	Баран отделился (от стада)														15.0	8	2023.0					Edera/Teli	f					keʁowčir	kʲɐʁʷopčira	kʲaʁowčis	kʲaʁówč	kʲaʁmówrič	kʲaʁalčisɨ, kʲaʁalčisɨ			
258	noun										1.0	NB		n256	3	kellíjid	келле	kellé	kelle	skull		skull	череп		jed ʁejʁa zirdɨ kelle liwiraj	йед гъейгъа зирды келле ливирай	Мы сегодня готовили коровий череп																			KF											281											
259	noun										1.0	NB	вар ; terkí	n257	4	kerkíjed	керки	kerkí	kerki	hoe		hoe	мотыга		izdɨ wɨɣlira kerki dub qɨʔɨr	изды выгӀлира керки дуб хъыъыр	Мой муж починил мотыгу																			KF											607											
260	noun										1.0	NB		n258	NO DATA	kefdɨ	кеф	kef	kef	pleasure		pleasure	удовольствие		ʁijʁa mɐrijeda χɐnimešis kef χan hiʔi	гъийгъа ма̂рийеда ха̂нимешис кеф хан гьиъи	Сегодня дети веселились (получали удовольствие)																			KF																						
99	complex verb	biʔir	v11	pull	kef	n258	pleasure				1.0	TM		cv111			кеф диъир (4)		kef diʔir (4)	pleasure pull		bliss out, chill out	кайфовать, приятно проводить время	erg	hanowa derjahada suqʼur kef deʔera	гьанова дерйагьада сукьур кеф деъера	У моря сидит и кайфует																			TM	13.0	8	2023.0					Nazile														kef diʔir (4)
103	verb										1.0	AA	тух йишин -- наедаться (из алисултанова)	v53			кехълевчӀур	keqléwčʼur	keqlewčʼur	SURF-RE-OUT-move		finish	закончить (дело)		mahaˤmmad gʷalaχaklʲa keqlečʼur χala qirqʼɨr ; zer tuχ wišir keqlewčʼur	магьаӀммад гвалахаклʼа кехълечӀур хала хъиркьыр ; зер тух вишир кехълевчӀур	Магомед закончил работу и вернулся домой ; Корова наелась, закончила (есть)	get out of water	выйти (из воды)		get xija ʁaʔ keqlewčʼur	гет хьийа гъаъ кехълевчӀур	Кошка из воды вышла																											keqléwčʼur	keqlebčʼura ~ kʲaqlʲaˤbʁura	keqléwčʼus	keqwíčʼ	keqméwlüčʼ	кехълелч1ур, IPFV с фарингализацией, но без упереднения — кяхъляду1бгъу1ра			
104	verb										1.0	NB		v77			кехъливир	keqliwir	keqliwir	SURF-RE-OUT-let		extinguish	тушить		habiši rɨˤɢːa kʲaqlijiraj cʼaj	гьабиши рыӀкъːа кʼахълийирай цӀай	Они затушили огонь на дороге	erase	стирать (написанное на доске)		ʁijʁa mi rɨšira kʲaqlaχara dosgɨjila	гъийгъа ми рышира кʼахълахара досгыйила	Сегодня эта девочка стирает с доски																											keqliwir	kʲaqlɨwɨχara	keqliwis	keqliwi	kʲaqlamawɨχ	-			
105	verb										2.0	AI		v54			кехълипӀир	keqlípʼir	keqlipʼir	SURF-RE-OUT-pull		unbind (tr)	отвязывать		zad hejwan keqlipʼira ; keqlíre χɨnɨχ!	зад гьейван кехълипӀира ; кехъли́ре хыных!	Я отвязал коня ; Отвяжи ребенка!																				13.0	8	2023.0					Nazile	f					keqlípʼir	keqlíwilera	keqlípʼes	keqlípʼe	keqlemewliʔ	keqlitʼira, keqlitʼira			
106	verb										1.0	AI		v60			кибтӀыр	kibʼtʼɨr	kibʼtʼɨr	SURF-tie		hang (tr.)	вешать		čʼil uulasa kipʼta	чӀил ууласа кипӀта	Ремень повесь на вешалку	bind	привязывать		zad wɨ gɨwaratak kitʼasɨ ; hanowa tʼɨla kiptʼɨra	зад вы гываратак китӀасы ; гьанова тӀыла киптӀыра	Я тебя привяжу к кровати (ребёнка в шутку пугают, чтобы успокоился) ; Она привязала собаку														13.0	8	2023.0					Nazile	f					kibʼtʼɨr	kiwiltʼara	kibʼtʼas	kibʼta	kemewlitʼ	kíltɨr, kíltɨr			
107	verb										1.0	NB		v69			кивикыр	kiwikɨr	kiwikɨr	PV-be_similar		be similar, resemble	быть похожим		χɨnɨχ mibišik kikara	хыных мибишик кикара	Мальчик похож на домашних																																	kiwikɨr	kiwirkara	kiwikas	kiwika	kimewrik	kidikɨr / kikɨr			
108	verb										1.0	NB		v70			кивир	kiwir	kiwir	SURF-let		add	добавлять		qʼel kiwira ; pisuk kijir	кьел кивира ; писук кийир	Соль добавил ; Положил песок в стакан	put down	забросить (удочку)		qʼasdɨ edemijera xijik kijira baluʁmar χelqʼed kar	кьасды едемийера хьийик кийира балугъмар хелкьед кар	Старик забросил удочку в озеро	lay down	уложить спать		nine aː kirira rɨš	нине аа кирира рыш	Мать уложила дочь спать																					kiwir	kiwiχara ~ kiwχara	kiwis	kiwij ~ kiwija	kimawɨχ	kidira / kiʔɨra			
109	verb										2.0	AI	keʁípxur было написано в ПФВ, видимо по ошибке ; судя по а̂лисултанову PFV должно бытьː кивирхьыр ; соответственно, форма кивирхьыра в ӀPFV выглядит сомнительно	v65			кивирхьара ~ кивирхьыра (ӀPFV)	kiwirxara ~ kiwírxɨra (ӀPFV)	kiwirxara ~ kiwirxɨra (ӀPFV)	PV-beg		beg	попрошайничать		qʼarčejid χɨdɨldɨ kirirxara ; zer keʁíbxuraj	кьарчейид хыдылды кирирхьара ; зер кегъи́бхьурай	Цыганская женщина попрошайничала ; Корова попрошайничает (просит еду)																				13.0	8	2023.0					Aga	m					NO DATA	kiwirxara ~ kiwírxɨra	kiwirxas	kiwirxa	kimewrix	kirxara, kidirxara			
110	verb										1.0	NB		v73			кивхьир	kiwxir	kiwxir	SURF-put		write	писать		qʼaˤsdɨ edemijera kixira eχtiled ǯudu ʔuˤmuˤrdilkadɨ	кьаӀсды едемийера кихьира ехтилед джуду ъуӀмуӀрдилкады	Старик написал рассказ о своей жизни	bury	хоронить		edemijera kixira ǯudɨ bɐbɐdid ; kixis maʔ tɨlɐjmar	едемийера кихьира джуды ба̂ба̂дид ; кихьис маъ тыла̂ймар	Похоронил своего деда ; Не хорони своих собак	ferment milk	квасить молоко		babaje kiwxira nek	бабайе кивхьира нек	Бабушка заквасила молоко																					kiwxir	kiwilxera	kiwxis	kiwxe	kimewrix	kidxir / kilxir			
111	verb										1.0	NB	украсть залезать внутрь массы	v68			кивчир	kiwčir	kiwčir	SURF-jump		pick (fruits)	сорвать (плод)		χɨbɨk sürijek kiwčir	хыбык суьрийек кивчир	Человек сорвал яблоко с дерева ; На овечье стадо напал медведь	jump into water	прыгнуть в воду		tɨla kiwčira xijik	тыла кивчира хьийик	Собака прыгнула в воду	get into garden	залезть в огород		χɨnɨχ kijčira baʁdikʲ	хыных кийчира багъдикʼ	Мальчик залез в огород																					kiwčir	kipčira	kiwčes	kiwča ~ kiwč	kimewič	kilčir / kilčir			
112	verb										1.0	AI	zad zerɨ kíqʼɨr ; pROHː kümewürčʼ ; kimebčʼ к человеку kümewič kimewič ; в ӀMP было записаноː kíwičʼa kíwič | kíjič | kíwičʼawa ; в PROH было записаноː kümewürčʼ ; kimebčʼ к человеку kümewič kimewič	v67			кивчӀур	kiwčʼur	kiwčʼur	SURF-move		begin	начать		kijčʼ gʷalaχas ; zas χalbɨr haʔas kičʼur ; dars kičʼur ; majlis kiwčʼur / kipʼir ; maˤʔlim kirčʼur darcʼak	кийчӀ гвалахас ; зас халбыр гьаъас кичӀур ; дарс кичӀур ; майлис кивчӀур / кипӀир ; маӀълим кирчӀур дарцӀак	Начни работать ; Я начал строить дома ; Урок начался ; Мероприятие началось ; Учительница начала урок	get in (into the water))	залезть (в воду)		zɨ xijek küčʼuraj	зы хьийек куьчӀурай	Я полез в воду														14.0	8	2023.0					Magomed	m					kiwčʼur	kiwčʼura ~ kʲáʁuˁra ~ kʲábʁuˁra ~ kʲówʁuˁra ~ kʲówubʁuˁra	küwčʼus	kíwičʼa ~ kíwič	kümewürčʼ ~ kimebčʼ ~ kümewičʼ ~ kimewičʼ	küčʼura, külčʼura			
113	verb										1.0	AI		v64			кивыкьыр	kíwɨqʼɨr	kiwɨqʼɨr	SURF-come		touch (intr.)	дотрагиваться (неперех.)		zad zirɨ χɨl kíqʼɨr ; zirɨra xijik bukʼbɨr kíwiqʼɨr ; zer kíwɨrqʼara masalɨk ; masalɨk kiwɨqʼa ; zad zerɨ χɨl kíqʼɨr ; nin kiriqʼɨr χɨnχɨk ; nine χɨl kiqʼɨr zirek	зад зиры хыл ки́кьыр ; зирыра хьийик букӀбыр ки́викьыр ; зер ки́выркьара масалык ; масалык кивыкьа ; зад зеры хыл ки́кьыр ; нин кирикьыр хынхык ; нине хыл кикьыр зирек	Я корову рукой тронул ; Корова коснулась воды губами ; Корова касается стенки ; [Корове: ] Касайся стены ; Мать потрогала ребенка ; Мать потрогала корову рукой																				13.0	8	2023.0					Aga	m					kíwɨqʼɨr	kiwírqʼara	kiwíqʼas	kíwiqʼa	kimérwiqʼ	kidiqʼɨr, kiiqʼɨr. Слышится kiʔiqʼɨr			
114	verb										1.0	NB		v71			кивыр	kiwɨr	kiwɨr	SURF-give		breast feed	давать грудь		tʼitʼ kiwija!	тӀитӀ кивийа!	Покорми грудью!																																	kiwɨr	kiwɨlcʼara	kiwɨs	kiwija	kimowlɨcʼ	kʲadɨr ~ kʲatʼɨr / kiʔɨr			
115	verb										1.0	NB		v72			кивыхыр	kiwɨχɨr	kiwɨχɨr	hang		be hanging	висеть		eč kiwiχɨra ; walɨg wečalkajiχda kijiχɨra	еч кивихыра ; валыг вечалкайихда кийихыра	Яблоко висело ; Одежда висела																																	kiwɨχɨr	kiwɨrχara	kiwɨχas	kiwɨχa	kimelwɨx	kidiχɨra / kijiχɨra			
116	verb										1.0	AI	*Χɨnɨχ kiʁírxur	v66			кигъипхьур ~ кегъипхьур	kiʁípxur ~ keʁípxur	kiʁipxur ~ keʁipxur	SURF-OUT-fall		fall down	упасть, опрокинуться		χukala eč kiʁíbxuraj ; sɨwala dahar kiʁíbxuraj ; dama ze saʔ kiʁíbxuraj	хукала еч кигъи́бхьурай ; сывала дагьар кигъи́бхьурай ; дама зе саъ кигъи́бхьурай	Яблоко с дерева упало ; С горы камень упал ; Корова упала из леса	wake up	просыпаться (утром)		zɨ ʁejʁa neqʼʲa qɨb keʁirxur ; χɨnɨχ neqʼa keʁírxur	зы гъейгъа некьʼа хъыб кегъирхьур ; хыных некьа кегъи́рхьур	Я сегодня утром рано проснулся ; Мальчик со сна проснулся	untie oneself	самостоятельно отвязаться (о скоте)		hakɨlɨla hejwan keʁibxura	гьакылыла гьейван кегъибхьура	Конь отвязался сам								13.0	8	2023.0					Aga	m				kipʼes kipʼčura	kiʁípxur ~ keʁípxur	kiʁwirxura ~ keʁwipxura	kiʁipxus ~ keʁibxus	kiʁípxʷa ~ keʁibxʷa	kiʁmewrɨx ~ keʁmewrux				
261	noun										1.0	NB	urusad raˤq	n259	3	NO DATA	килит	kilít	kilit	door_bolt		door-bolt	засов		naˤχan rak kilit dakan ʁiʁaʔara	наӀхан рак килит дакан гъигъаъара	На ночь он закрыл дверь на засов																			KF											567											
117	verb										1.0	AI	только в воду, в грязь	v61			кипхьур	kipxur	kipxur	SURF-fall		fall down into water	падать в воду, грязь		zer ʁɨˤla saʔ xije kibxuraj ; dawarar palčikakʲ kitxur	зер гъыӀла саъ хьийе кибхьурай ; даварар палчикакʼ китхьур	Корова с моста в воду упала ; Коровы упали в грязь																				13.0	8	2023.0					Aga	m					kipxur	kiwipxura	kipxus	kipxʷa	kimepxʷ	kitxur, kitxur			
262	noun										1.0	NB		n260	4	kitábad	китаб	kitáb	kitab	book		book	книга		kitabala bala karbɨr hacɨsɨ	китабала бала карбыр гьацысы	Из книг много чего можно узнать																			KF											1088											
118	verb										1.0	AI	kíčitqɨra (4)	v62			кичипхъыр	kíčipqɨr	kičipqɨr	PV-stick		stick (intr.)	прилипать		it klenkajek kičitqɨra ; zer qɨrejikʲ kičibqɨraj ; bekʲ kičitkɨr izdɨ čʼarɨmɨk	ит кленкайек кичитхъыра ; зер хъырейикʼ кичибхъырай ; бекʼ кичиткыр изды чӀарымык	Мёд к клеенке прилип ; Корова к смоле прилепилась ; Жвачка прилипла к мои волосам	fight	подраться		izdɨ χɨnɨχ na sa maddɨ χɨnɨχ kičitqɨraj	изды хыных на са мадды хыных кичитхъырай	Мой мальчик с другим мальчиком подрался														13.0	8	2023.0					Aga	m					kíčipqɨr	kičwilqara	kičipqas	kičépqa	kičméwrɨk	ḱičitqɨr, ḱičitqɨr			
119	verb										1.0	AA		v122			кичипхъыр	kičípqɨr	kičipqɨr	PV-fight		fight	драться		rɨˤɢa gɨdijer kičitqɨra	рыӀкъа гыдийер кичитхъыра	На улице ребята подрались	stick	прилипать		izdɨ uχnakʲ paˤɢʷaled tʼíli kičipqɨra ; izdɨ čʼarɨmɨkʲ beqʼ kičitqɨra	изды ухнакʼ паӀкъвалед тӀи́ли кичипхъыра ; изды чӀарымыкʼ бекь кичитхъыра	К моему платью лист лопуха прилип ; К моим волосам жвачка прилипла														14.0	8	2023.0					Назиле						kičípqɨr	kičwílqara	kičípqas	kíčipqa	kičméwlɨk				
120	verb										1.0	NB	возможно также стрелять # иронично, стрелять нет	v74			киӀвхыӀр	kiˤwχɨˤr	kiˤwχɨˤr	SURF-hit2		beat	бить		rɨšera kiˤrχˤɨra zirɨs	рышера киӀрхˤыра зирыс	Девочка бьет корову	put phone on charge	поставить телефон на зарядку		juše hanuwa tʼilifon zarʲada kiˤwɨˤrχara	йуше гьанува тӀилифон зарʼада киӀвыӀрхара	Ночью она поставила телефон на зарядку	plant seedling	сажать саженец		šitilbɨr pomidorad kiˤχaˤ	шитилбыр помидорад киӀхаӀ	Посади помидоры	dye the yarn	красить пряжу																			kiˤwχɨˤr	kiˤwɨˤrχara	kiˤwχɨˤs	kiˤwχ	kimaˤrwɨˤχ	kiˤlχɨˤra / -			
121	verb										2.0	AI	возможно = SURF-hit ; iPFV ; 3 = kiwiχɨˤwaʔra? ӀNF ; 3 = kiwiχawaʔasɨ? ӀMP ; 3 = kiwɨˤχawaʔ? PROH ; 3 = kimejiˤrχ ~ kimeχama waʔ?	v63			киӀвыӀхыӀр	kíˤwɨˤχɨˤr	kiˤwɨˤχɨˤr	PV-mix		mix, stir	мешать (чай, траву для начинки)		čej kijχɨra ~ čej kiχɨˤhaʔ ; zad kiˤwɨ́ˤrχaˤra rɨˤqʼ ~ zad kíwɨχaˤ awɨra rɨˤqʼ ; zad kijχɨˤr čej ~ zad kíjχaˤ hɨʔɨr čei	чей кийхыра ~ чей кихыӀгьаъ ; зад киӀвы́ӀрхаӀра рыӀкь ~ зад ки́выхаӀ авыра рыӀкь ; зад кийхыӀр чей ~ зад ки́йхаӀ гьыъыр чеи	Чай помешал ; Я помешала суп ; Я помешала чай																				13.0	8	2023.0					Aga	m					kíˤwɨˤχɨˤr	kiˤwɨ́ˤrχaˤra	kíˤwɨˤχaˤs	kíˤwɨˤχaˤ	kˤimárwˤɨχ ~ kˤimáwrˤɨχ				
263	noun										1.0	NB		n261	NO DATA	klassad	класс	klass	klass	class		class	класс		mid wiʔi ixdɨ klass	мид виъи ихьды класс	Мы в одном классе																			KF																						
264	noun										1.0	NB		n262	3	kowɨ́d	ков	kow	kow	heel		heel	пятка		izdɨ kow weddara	изды ков веддара	У меня болит пятка																			KF											328											
265	noun										1.0	NB		n263	1	kowχɨ́jed	ковха	kowχá	kowχa	foreman		foreman	старшина		zad kowχajis obrašaca rešir suʔal rešatas	зад ковхайис обрашаца решир суъал решатас	Мы обратились к старейшине чтобы решить наш вопрос																			KF																						
266	noun										1.0	NB		n264	3	kúbad	куб	kub	kub	namaz		namaz	намаз		had jawaš jišira kub waʔas	гьад йаваш йишира куб ваъас	Он остановился чтобы сделать намаз																			KF																						
100	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	kub	n264	namaz				1.0	TM		cv113			куб выъыр		kub wɨʔɨr	namaz do		pray	молиться	erg	ixʲdɨ babadide bala kub hawɨra	ихьʼды бабадиде бала куб гьавыра	Мой дедушка много молился																			TM	11.0	8	2023.0					Nazile														kub wɨʔɨr
267	noun										1.0	KF		n265	4	kubkúd	кубук	kubúk	kubuk	foam		foam	пена		wɨlɨgmar hɨχana tamɨz hišin badana kubkuk kixir hɨgara	вылыгмар гьыхана тамыз гьишин бадана кубкук кихьир гьыгара	Чтобы вещи хорошо отстирались их нужно замочить в пене																			KF								Лейла			16											
55	adjective										1.0	NB		a58			кукды	kukdɨ	kukdɨ	well_fed		fat (animal)	толстый, упитанный (о животных, мясе)		rɨˤqʼɨˤq araː kukdɨ jak jiʔi ; zer kuk wiʔi ; zas hugːud zer, kukdɨ wiʔi	рыӀкьыӀхъ араа кукды йак йиъи ; зер кук виъи ; зас гьугːуд зер, кукды виъи	В супе плавало жирное мясо ; Корова упитанная ; Я порезал корову, она жирная																										magomed-molla	Khanum												kuk	kukana	
268	noun										1.0	KF		n266	3	kúlɨrdɨ ~ kúlurdɨ	кул	kul	kul	bush		bush	куст		ixdɨ baʁde kulbɨr ʁani i	ихьды багъде кулбыр гъани и	У нас в саду есть кусты																			KF								Лейла			646											
269	noun										1.0	KF		n267	3	kulkúd	кулак	kulák	kulak	wind		wind	ветер		kulak wišijne χukbɨr χilgara	кулак вишийне хукбыр хилгара	Ветер дует — деревья качаются																			KF								Лейла			36											
270	noun										1.0	KF		n268	NO DATA	kumɐ́gdid	кумаг	kumág	kumag	help.n		help (noun)	помощь		hɨnčid kumɞ́gdikan jed mi gʷalaχ laptʼa wɨʔɨra	гьынчид кумо̂́гдикан йед ми гвалах лаптӀа выъыра	С божьей помощью мы закончили это дело																			KF								Лейла														
101	complex verb	hɨwɨ́r	v39	give	kumág	n268	help.n				1.0	TM		cv114			кумаг гьывыр		kumag hɨwɨr	help.n give		help	помогать	erg, dat	izdɨ χɨdɨlara zas hammiše kumag wɨlcʼara	изды хыдылара зас гьаммише кумаг вылцӀара	Мой племянник мне всегда помогает																			TM	11.0	8	2023.0					Nurula														kumág hɨwɨr
102	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	kumág	n268	help.n				1.0	TM		cv115			кумаг гьыъыр (4)		kumag hɨʔɨr (4)	help.n do		help	помогать	erg, dat	wad zas bɨga kumag haʔasɨma uqʼ mašina laqaʔas?	вад зас быга кумаг гьаъасыма укь машина лахъаъас?	Ты мне завтра поможешь сено в машину загрузить?																			TM	11.0	8	2023.0					Nazile														kumág hɨʔɨr (4)
271	noun										1.0	KF		n269	3	kundíjid	кунде	kundé	kunde	small_dough_circle		small balls of dough	небольшой шарик теста		xuwbɨr haʔas kunde sawɨra	хьувбыр гьаъас кунде савыра	Чтобы cделать хлеб, нужно приготовить шарики																			KF								Лейла														
272	noun										1.0	KF	кура как тандыр, туда несколько хлебов помещаются 7-8, а в хьар только один	n270	3	kurɐ́jid	кура	kura	kura	bread_oven		oven for bread	кура (печка для хлеба)		zad kurɐ́je xuwbɨr hɨʔɨra	зад кура̂́йе хьувбыр гьыъыра	Я испекла хлеб в печи																			KF								Лейла														
273	noun										1.0	KF		n271	3	kursíjid	курси	kursí	kursi	stool		stool	табурет		zad mihman kursije saʁura, zɨ čʼile surqʼur	зад мигьман курсийе сагъура, зы чӀиле суркьур	Я усадила гостя на табуретку, а сама села на пол																			KF								Лейла			584											
274	noun										1.0	KF		n272	3	kurugad	куруг	kurúg	kurug	bellows		bellows	кузнечный мех		ɢalajčiera simawaras ɢalaj wɨlcʼaga, kurúg kʲawara	къалайчиера симаварас къалай вылцӀага, куру́г кявара	Когда кузнец ремонтирует самовар, надувает мехами																			KF								Лейла			730											
275	noun										1.0	KF		n273	3	kursúd	курус	kurús	kurus	appearance		appearance	внешность, образ		ǯidɨ kurus hawaja?	джиды курус гьавайа?	Что за вид у тебя (грязный, испачканный)?																			KF								Лейла														
276	noun										1.0	KF		n274	3	kučíd	куч	kuč	kuč	she_dog		female dog	собака (сука)		kučira cʼikʼer hɨʔɨra	кучира цӀикӀер гьыъыра	Собака родила щенят																			KF								Лейла			192											
277	noun										1.0	KF		n275	3	kušíd	куш	kuš	kuš	corner		corner	угол		zad χɨnɨχ kuše luza hɨʔɨra	зад хыных куше луза гьыъыра	Я поставила ребенка в угол																			KF								Лейла			896											
56	adjective										1.0	NB		a57			куьгьнед	kühned	kühned	ancient2		ancient	старинный		kühned hejega jičʼerdiš ilesdɨ haʔas	куьгьнед гьейега йичӀердиш илесды гьаъас	На старой сковородке не получается готовить																										magomed-molla	Nazile												NO DATA	NO DATA	
278	noun										2.0	KF		n276	4	külgǘd	куьлегʼ	külégʲ	külegʲ	elbow		elbow	локоть		hanowa zɨ kulʲgʲüra jɨˤrχɨr ; külgüd jeddál pisdɨ i	гьанова зы кулʼгʼуьра йыӀрхыр ; куьлгуьд йедда́л писды и	Он толкнул меня локтем ; Боль в локте очень сильная																			KF								Лейла			318											
279	noun										1.0	KF		n277	3	kümʁárad	куьмгъар	kümʁár	kümʁar	chimney		chimney	дымоход, труба		kümʁala laʔ xum ruʔura	куьмгъала лаъ хьум руъура	Через трубу идёт дым																			KF								Лейла			576											
280	noun										1.0	AA		n278	4	ɢabad	къабыр	ɢab	ɢab	dishes		dishes	посуда		bɨlaχadadɨ ɢab, laʔ qaqa	былахадады къаб, лаъ хъахъа	Посуда у родника, принеси её сюда																			KF	10.0	8	2023.0					Назиле	f		452											
103	complex verb	wišír	v202	become	ɢawɨrmiš		ɢawɨrmiš				1.0	TM		cv56			къавырмиш вишир		ɢawɨrmiš wišir	ɢawɨrmiš become		fry, roast (intr)	жариться	abs	maʔbɨr ɢawɨrmiš hišir ; jakbɨr ɢawɨrmiš hišir, behem i / haˤzɨr i	маъбыр къавырмиш гьишир ; йакбыр къавырмиш гьишир, бегьем и / гьаӀзыр и	Жир поджарился ; Мясо уже поджарилось, готово!																			TM	10.0	8	2023.0					Aga														ɢawɨrmiš wišir
104	complex verb	wɨ́ʔɨr ~ howʔɨr ~ háwʔɨr	v211	do	ɢawɨrmiš		ɢawɨrmiš				1.0	TM		cv57			къавырмиш выъыр		ɢawɨrmiš wɨʔɨr	ɢawɨrmiš do		fry, roast (tr)	жарить	erg, abs	xɨdɨӀnowa jak ɢawɨrmiš hɨʔɨraj	хьыдыӀнова йак къавырмиш гьыъырай	Жена мясо жарила																			TM	10.0	8	2023.0					Aga														ɢawɨrmiš wɨʔɨr
281	noun										1.0	AI		n279	4	ɢaʁɨldɨ	къагъ	ɢaʁ	ɢaʁ	scabbard		scabbard	ножны		izdɨ kantʼ ɢaʁala a	изды кантӀ къагъала а	Мой нож в ножнах																			KF	6.0	8	2023.0					Nazile	f		1107											
282	noun										1.0	AI		n280	3	ɢázɨrdɨ	къаз	ɢaz	ɢaz	goose		goose	гусь		hɨtɨ ɢazmar hile jiʔi?	гьыты къазмар гьиле йиъи?	Где ваши гуси?																			KF	6.0	8	2023.0					Nazile	f		171											
57	adjective										1.0	AI	и о еде тоже	a32			къайнерды	ɢajnérdɨ	ɢajnerdɨ	boiled		hot	горячий, ошпаривающий (о жидкостях)		čej mɨka, ɢajnér ; rɨqʼ ɢajnér wiʔi ; zas wɨgara kʼartoška ɢajnérara	чей мыка, къайне́р ; рыкь къайне́р виъи ; зас выгара кӀартошка къайне́рара	Чай охлади, он горячий ; Суп слишком горячий ; Я хочу горячую картошку																				15.0	8.0	2023.0					Magomed	m	Said, Nazile										ɢajner	ɢajnérana	
